,City,lat,lon,temp,temp_max,humidity,cloudiness,wind_speed,country
0,Mananara,-16.17,49.77,79.72,79.72,83.0,98.0,5.84,MG
1,Castro,-24.79,-50.01,66.36,66.36,54.0,81.0,5.86,BR
2,Albany,42.6,-73.97,36.9,39.99,69.0,75.0,0.81,US
3,Huarmey,-10.07,-78.15,73.45,73.45,77.0,99.0,4.07,PE
4,Chokurdakh,70.63,147.92,-0.44,-0.44,92.0,66.0,2.75,RU
5,Yellowknife,62.46,-114.35,-24.16,-20.99,74.0,5.0,5.82,CA
9,Bereket,39.24,55.52,60.49,60.49,29.0,47.0,14.23,TM
10,Campo Maior,-4.83,-42.17,85.95,85.95,67.0,94.0,5.53,BR
11,Mataura,-46.19,168.86,45.0,45.0,92.0,3.0,1.01,NZ
12,Sukhobezvodnoye,57.05,44.89,49.15,49.15,72.0,9.0,7.45,RU
13,Kieta,-6.22,155.63,81.57,81.57,78.0,99.0,5.41,PG
14,Rodrigues Alves,-7.74,-72.65,87.15,87.15,59.0,100.0,3.98,BR
15,Kavaratti,10.57,72.64,84.49,84.49,71.0,98.0,9.28,IN
16,Port Elizabeth,-33.92,25.57,84.2,84.2,20.0,0.0,12.75,ZA
17,Hobart,-42.88,147.33,62.17,66.99,59.0,54.0,9.17,AU
18,Santa Cruz de la Sierra,-17.8,-63.17,78.8,78.8,74.0,40.0,8.05,BO
21,Port Macquarie,-31.43,152.92,65.64,66.2,93.0,90.0,3.36,AU
22,Port Pirie,-33.18,138.02,73.4,73.4,20.0,83.0,6.93,AU
23,Faanui,-16.48,-151.75,82.81,82.81,68.0,2.0,7.49,PF
24,Rajshahi,24.37,88.6,94.96,94.96,22.0,0.0,10.38,BD
25,Kapaa,22.08,-159.32,67.6,73.4,88.0,90.0,20.8,US
26,Tura,25.52,90.22,76.95,76.95,34.0,0.0,4.05,IN
27,Bredasdorp,-34.53,20.04,73.72,77.0,31.0,26.0,16.11,ZA
28,Punta Arenas,-53.15,-70.92,43.3,44.6,70.0,100.0,14.99,CL
29,Kampong Cham,11.99,105.46,83.55,83.55,62.0,65.0,6.85,KH
30,Guerrero Negro,27.98,-114.06,55.58,55.58,72.0,0.0,7.76,MX
31,Saint Paul Harbor,57.79,-152.41,41.0,41.0,48.0,58.0,11.41,US
32,Busselton,-33.65,115.33,60.01,60.01,42.0,56.0,9.91,AU
33,Mahébourg,-20.41,57.7,82.24,82.4,83.0,75.0,8.05,MU
34,Gimli,50.63,-96.99,27.59,30.0,93.0,71.0,7.0,CA
35,Tuktoyaktuk,69.45,-133.04,-23.8,-23.8,74.0,75.0,12.75,CA
36,Fortuna,40.6,-124.16,45.81,48.0,100.0,90.0,8.05,US
37,Khatanga,71.97,102.5,4.6,4.6,94.0,61.0,7.25,RU
39,Maisach,48.22,11.27,58.24,62.01,35.0,29.0,6.93,DE
40,Hamilton,39.18,-84.53,67.53,71.6,88.0,1.0,9.17,US
41,Puerto Ayora,-0.74,-90.35,80.19,81.0,88.0,20.0,5.82,EC
43,Departamento de Maldonado,-34.67,-54.92,77.0,77.0,73.0,75.0,9.17,UY
44,Erenhot,43.65,111.98,39.24,39.24,34.0,0.0,8.66,CN
45,Bethel,41.37,-73.41,46.45,52.0,56.0,1.0,6.93,US
46,Key West,24.56,-81.78,79.12,80.6,69.0,40.0,13.87,US
47,Nioro,13.35,-15.75,100.24,100.24,14.0,91.0,6.76,GM
48,Te Anau,-45.42,167.72,43.11,43.11,76.0,15.0,1.77,NZ
49,Pacifica,37.61,-122.49,48.49,52.0,93.0,90.0,2.33,US
50,Cidreira,-30.18,-50.21,78.93,78.93,64.0,73.0,12.53,BR
54,Valparaíso,-33.04,-71.63,58.8,60.8,93.0,90.0,3.69,CL
